num_voters,strategic_voting_risk,overall_happiness
2,1.0,0.505
3,0.6666666666666666,0.33
4,0.75,0.26
5,0.8,0.14999999999999997
6,0.8333333333333334,0.33
7,0.7142857142857143,0.22571428571428573
8,0.625,0.1575
9,1.0,0.16333333333333336
10,0.5,0.144
12,0.5833333333333334,0.125
15,0.8,0.13066666666666668
20,0.8,0.09250000000000001
25,0.56,0.10280000000000002
30,0.6666666666666666,0.12700000000000003
40,0.5,0.08900000000000001
50,0.4,0.1076
75,0.26666666666666666,0.08346666666666666
100,0.2,0.08240000000000001
150,0.13333333333333333,0.07693333333333333
